Nama Pennguna,Teks Ulasan,Rating,Waktu Ulasan,casefolding,cleaning,stopword_removal,tokenizing,stemming
Herma Wti,sangat cepat dan bijak aplikasi dana,5,7/7/2025 15:42,sangat cepat dan bijak aplikasi dana,sangat cepat dan bijak aplikasi dana,sangat cepat bijak aplikasi dana,"['sangat', 'cepat', 'bijak', 'aplikasi', 'dana']",sangat cepat bijak aplikasi dana
Dixon Cornelis,baik dan praktis,5,7/7/2025 15:41,baik dan praktis,baik dan praktis,baik praktis,"['baik', 'praktis']",baik praktis
Silfi,berat sekali bukak apk mohon di gas kan lagi biar tambah jossss,5,7/7/2025 15:36,berat sekali bukak apk mohon di gas kan lagi biar tambah jossss,berat sekali bukak apk mohon di gas kan lagi biar tambah jossss,berat sekali bukak apk mohon gas kan biar tambah jossss,"['berat', 'sekali', 'bukak', 'apk', 'mohon', 'gas', 'kan', 'biar', 'tambah', 'jossss']",berat sekali bukak apk mohon gas kan biar tambah jossss
rahmana jaya,terima kasih kepada pihak dana atas pelayanan dan respon sangat cepat kepada pelanggan. uang saya bisa kembali. mohon maaf bila ada kata kata yang kurang berkenan dari saya.,5,7/7/2025 15:36,terima kasih kepada pihak dana atas pelayanan dan respon sangat cepat kepada pelanggan. uang saya bisa kembali. mohon maaf bila ada kata kata yang kurang berkenan dari saya.,terima kasih kepada pihak dana atas pelayanan dan respon sangat cepat kepada pelanggan uang saya bisa kembali mohon maaf bila ada kata kata yang kurang berkenan dari saya,terima kasih pihak dana atas pelayanan respon sangat cepat pelanggan uang mohon maaf bila kata kata kurang berkenan,"['terima', 'kasih', 'pihak', 'dana', 'atas', 'pelayanan', 'respon', 'sangat', 'cepat', 'pelanggan', 'uang', 'mohon', 'maaf', 'bila', 'kata', 'kata', 'kurang', 'berkenan']",terima kasih pihak dana atas layan respon sangat cepat langgan uang mohon maaf bila kata kata kurang kenan
Ilham Kuy27,Luarbuasa,5,7/7/2025 15:35,luarbuasa,luarbuasa,luarbuasa,['luarbuasa'],luarbuasa
Danil Ahmad,"gak bisa log in,ID sama pin dah benar",2,7/7/2025 15:33,"gak bisa log in,id sama pin dah benar",gak bisa log inid sama pin dah benar,gak log inid sama pin dah benar,"['gak', 'log', 'inid', 'sama', 'pin', 'dah', 'benar']",gak log inid sama pin dah benar
Fadilllahh11 Jajaka,kenapa saya gak bisa pakai dana cicil lagi setelah di lunasin semua,2,7/7/2025 15:32,kenapa saya gak bisa pakai dana cicil lagi setelah di lunasin semua,kenapa saya gak bisa pakai dana cicil lagi setelah di lunasin semua,gak pakai dana cicil lunasin semua,"['gak', 'pakai', 'dana', 'cicil', 'lunasin', 'semua']",gak pakai dana cicil lunasin semua
Riska Junianty,mau tanya kenapa aku install apk ini tapi tiba tiba keluar sendiri oadahal semua sinyal lancar kuota aman,3,7/7/2025 15:32,mau tanya kenapa aku install apk ini tapi tiba tiba keluar sendiri oadahal semua sinyal lancar kuota aman,mau tanya kenapa aku install apk ini tapi tiba tiba keluar sendiri oadahal semua sinyal lancar kuota aman,mau tanya aku install apk tiba tiba keluar sendiri oadahal semua sinyal lancar kuota aman,"['mau', 'tanya', 'aku', 'install', 'apk', 'tiba', 'tiba', 'keluar', 'sendiri', 'oadahal', 'semua', 'sinyal', 'lancar', 'kuota', 'aman']",mau tanya aku install apk tiba tiba keluar sendiri oadahal semua sinyal lancar kuota aman
Kosasih Reza,"Mohon maff saya edit ulasan nya..karna masalah/laporan saya buntu..pihak dana samasekali tidak bertanggung jawab atas kehilangan saldo di rekening nasabah.saldo saya tiba2 terdebt sebesar 1,5jta lebih otomatis terdebt tanpa ada konfirmasi OTP atau verpifikasi lain nya.tau2 ada notif bahwa akun dana sudah login di oerangkat lain.itu jelas bukan kesalahan nasabah/Human error..laporan sudah hampir mau 1bulan tidak ada kejelasan.padahal investigasi hanya 7hari kerja..",1,7/7/2025 15:29,"mohon maff saya edit ulasan nya..karna masalah/laporan saya buntu..pihak dana samasekali tidak bertanggung jawab atas kehilangan saldo di rekening nasabah.saldo saya tiba2 terdebt sebesar 1,5jta lebih otomatis terdebt tanpa ada konfirmasi otp atau verpifikasi lain nya.tau2 ada notif bahwa akun dana sudah login di oerangkat lain.itu jelas bukan kesalahan nasabah/human error..laporan sudah hampir mau 1bulan tidak ada kejelasan.padahal investigasi hanya 7hari kerja..",mohon maff saya edit ulasan nyakarna masalahlaporan saya buntupihak dana samasekali tidak bertanggung jawab atas kehilangan saldo di rekening nasabahsaldo saya tiba terdebt sebesar jta lebih otomatis terdebt tanpa ada konfirmasi otp atau verpifikasi lain nyatau ada notif bahwa akun dana sudah login di oerangkat lainitu jelas bukan kesalahan nasabahhuman errorlaporan sudah hampir mau bulan tidak ada kejelasanpadahal investigasi hanya hari kerja,mohon maff edit ulasan nyakarna masalahlaporan buntupihak dana samasekali bertanggung jawab atas kehilangan saldo rekening nasabahsaldo tiba terdebt sebesar jta lebih otomatis terdebt konfirmasi otp verpifikasi nyatau notif akun dana login oerangkat lainitu jelas bukan kesalahan nasabahhuman errorlaporan hampir mau bulan kejelasanpadahal investigasi hari kerja,"['mohon', 'maff', 'edit', 'ulasan', 'nyakarna', 'masalahlaporan', 'buntupihak', 'dana', 'samasekali', 'bertanggung', 'jawab', 'atas', 'kehilangan', 'saldo', 'rekening', 'nasabahsaldo', 'tiba', 'terdebt', 'sebesar', 'jta', 'lebih', 'otomatis', 'terdebt', 'konfirmasi', 'otp', 'verpifikasi', 'nyatau', 'notif', 'akun', 'dana', 'login', 'oerangkat', 'lainitu', 'jelas', 'bukan', 'kesalahan', 'nasabahhuman', 'errorlaporan', 'hampir', 'mau', 'bulan', 'kejelasanpadahal', 'investigasi', 'hari', 'kerja']",mohon maff edit ulas nyakarna masalahlaporan buntupihak dana samasekali tanggung jawab atas hilang saldo rekening nasabahsaldo tiba terdebt besar jta lebih otomatis terdebt konfirmasi otp verpifikasi nyatau notif akun dana login oerangkat lainitu jelas bukan salah nasabahhuman errorlaporan hampir mau bulan kejelasanpadahal investigasi hari kerja
Agus Afriyana,"membantu sekali, tapi pengamanan nya tolong lebih d tingkatkan",5,7/7/2025 15:27,"membantu sekali, tapi pengamanan nya tolong lebih d tingkatkan",membantu sekali tapi pengamanan nya tolong lebih d tingkatkan,membantu sekali pengamanan nya lebih d tingkatkan,"['membantu', 'sekali', 'pengamanan', 'nya', 'lebih', 'd', 'tingkatkan']",bantu sekali aman nya lebih d tingkat
Straw banana,Dana cicil gabisa dipake lagi cuman sekali doang dilunasi teruz gabisa dipakai lg limitnya payah dana 👎,1,7/7/2025 15:27,dana cicil gabisa dipake lagi cuman sekali doang dilunasi teruz gabisa dipakai lg limitnya payah dana 👎,dana cicil gabisa dipake lagi cuman sekali doang dilunasi teruz gabisa dipakai lg limitnya payah dana,dana cicil gabisa dipake cuman sekali doang dilunasi teruz gabisa dipakai lg limitnya payah dana,"['dana', 'cicil', 'gabisa', 'dipake', 'cuman', 'sekali', 'doang', 'dilunasi', 'teruz', 'gabisa', 'dipakai', 'lg', 'limitnya', 'payah', 'dana']",dana cicil gabisa dipake cuman sekali doang lunas teruz gabisa pakai lg limit payah dana
axel Yeyouggie,"ribet mau kirim cepat harus pake premium dulu lah, QRIS invalid terus, mau daftar premium harus pake ktp dulu lah, macem² bgt peraturannya, di perbaiki lagi dong QRIS nya knp invalid terus",1,7/7/2025 15:26,"ribet mau kirim cepat harus pake premium dulu lah, qris invalid terus, mau daftar premium harus pake ktp dulu lah, macem² bgt peraturannya, di perbaiki lagi dong qris nya knp invalid terus",ribet mau kirim cepat harus pake premium dulu lah qris invalid terus mau daftar premium harus pake ktp dulu lah macem bgt peraturannya di perbaiki lagi dong qris nya knp invalid terus,ribet mau kirim cepat pake premium dulu lah qris invalid terus mau daftar premium pake ktp dulu lah macem bgt peraturannya perbaiki dong qris nya knp invalid terus,"['ribet', 'mau', 'kirim', 'cepat', 'pake', 'premium', 'dulu', 'lah', 'qris', 'invalid', 'terus', 'mau', 'daftar', 'premium', 'pake', 'ktp', 'dulu', 'lah', 'macem', 'bgt', 'peraturannya', 'perbaiki', 'dong', 'qris', 'nya', 'knp', 'invalid', 'terus']",ribet mau kirim cepat pake premium dulu lah qris invalid terus mau daftar premium pake ktp dulu lah macem bgt atur baik dong qris nya knp invalid terus
wildan hilmi,Gimana ini kelanjutan soal pemindahan akun lama ke akun baru padahal sudah saya proses laporan tapi sampai sekarang masih belum bisa di gunakan. sedangkan di aplikasi ada saldo... Mohon untuk dana saya minta kelanjutanan dari tanggal 2 juni sampai sekarang belum ada info nya lagi pdahal sudah naik laporan nya.,1,7/7/2025 15:25,gimana ini kelanjutan soal pemindahan akun lama ke akun baru padahal sudah saya proses laporan tapi sampai sekarang masih belum bisa di gunakan. sedangkan di aplikasi ada saldo... mohon untuk dana saya minta kelanjutanan dari tanggal 2 juni sampai sekarang belum ada info nya lagi pdahal sudah naik laporan nya.,gimana ini kelanjutan soal pemindahan akun lama ke akun baru padahal sudah saya proses laporan tapi sampai sekarang masih belum bisa di gunakan sedangkan di aplikasi ada saldo mohon untuk dana saya minta kelanjutanan dari tanggal juni sampai sekarang belum ada info nya lagi pdahal sudah naik laporan nya,gimana kelanjutan soal pemindahan akun lama akun baru padahal proses laporan sekarang gunakan aplikasi saldo mohon dana minta kelanjutanan tanggal juni sekarang info nya pdahal naik laporan nya,"['gimana', 'kelanjutan', 'soal', 'pemindahan', 'akun', 'lama', 'akun', 'baru', 'padahal', 'proses', 'laporan', 'sekarang', 'gunakan', 'aplikasi', 'saldo', 'mohon', 'dana', 'minta', 'kelanjutanan', 'tanggal', 'juni', 'sekarang', 'info', 'nya', 'pdahal', 'naik', 'laporan', 'nya']",gimana lanjut soal pindah akun lama akun baru padahal proses lapor sekarang guna aplikasi saldo mohon dana minta kelanjutanan tanggal juni sekarang info nya pdahal naik lapor nya
Dewi Purwati,sangat membantu,5,7/7/2025 15:21,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",sangat bantu
Mujiintan selayar,"terbaik, keamanan tingkat tinggi di tengah2 gencaran maling online",5,7/7/2025 15:20,"terbaik, keamanan tingkat tinggi di tengah2 gencaran maling online",terbaik keamanan tingkat tinggi di tengah gencaran maling online,terbaik keamanan tingkat tinggi tengah gencaran maling online,"['terbaik', 'keamanan', 'tingkat', 'tinggi', 'tengah', 'gencaran', 'maling', 'online']",baik aman tingkat tinggi tengah gencar maling online
Emelinda Yuyun,aplikasi in mudah sekali di bobol dan tidak ada tanggung jawab dari pihak dana untuk mengembalikan jikalau ada kejadian seperti itu. jngan harap uang anda bisa kembali.,1,7/7/2025 15:19,aplikasi in mudah sekali di bobol dan tidak ada tanggung jawab dari pihak dana untuk mengembalikan jikalau ada kejadian seperti itu. jngan harap uang anda bisa kembali.,aplikasi in mudah sekali di bobol dan tidak ada tanggung jawab dari pihak dana untuk mengembalikan jikalau ada kejadian seperti itu jngan harap uang anda bisa kembali,aplikasi in mudah sekali bobol tanggung jawab pihak dana mengembalikan jikalau kejadian jngan harap uang,"['aplikasi', 'in', 'mudah', 'sekali', 'bobol', 'tanggung', 'jawab', 'pihak', 'dana', 'mengembalikan', 'jikalau', 'kejadian', 'jngan', 'harap', 'uang']",aplikasi in mudah sekali bobol tanggung jawab pihak dana kembali jikalau jadi jngan harap uang
Vera Khairunnisa,maaf saya mau tanya apakah fitur sekarang memang menggunakan dana premium harus pakai kk juga soalnya saya sdh ngirim pakai kk takut penipuan soalnya disuruh menunggu 2 hari mohon kasih tau saya secepatnya soalnya saya takut itu pinjol,4,7/7/2025 15:19,maaf saya mau tanya apakah fitur sekarang memang menggunakan dana premium harus pakai kk juga soalnya saya sdh ngirim pakai kk takut penipuan soalnya disuruh menunggu 2 hari mohon kasih tau saya secepatnya soalnya saya takut itu pinjol,maaf saya mau tanya apakah fitur sekarang memang menggunakan dana premium harus pakai kk juga soalnya saya sdh ngirim pakai kk takut penipuan soalnya disuruh menunggu hari mohon kasih tau saya secepatnya soalnya saya takut itu pinjol,maaf mau tanya fitur sekarang memang menggunakan dana premium pakai kk soalnya sdh ngirim pakai kk takut penipuan soalnya disuruh menunggu hari mohon kasih tau secepatnya soalnya takut pinjol,"['maaf', 'mau', 'tanya', 'fitur', 'sekarang', 'memang', 'menggunakan', 'dana', 'premium', 'pakai', 'kk', 'soalnya', 'sdh', 'ngirim', 'pakai', 'kk', 'takut', 'penipuan', 'soalnya', 'disuruh', 'menunggu', 'hari', 'mohon', 'kasih', 'tau', 'secepatnya', 'soalnya', 'takut', 'pinjol']",maaf mau tanya fitur sekarang memang guna dana premium pakai kk soal sdh ngirim pakai kk takut tipu soal suruh tunggu hari mohon kasih tau cepat soal takut pinjol
Mas Heru,kenapa y selalu force close di samsung a10,5,7/7/2025 15:19,kenapa y selalu force close di samsung a10,kenapa y selalu force close di samsung a,y selalu force close samsung a,"['y', 'selalu', 'force', 'close', 'samsung', 'a']",y selalu force close samsung a
Riel Merahh,"keamanan lemah ,tiba tiba ada transaksi gajelas terus saldo hilang",1,7/7/2025 15:19,"keamanan lemah ,tiba tiba ada transaksi gajelas terus saldo hilang",keamanan lemah tiba tiba ada transaksi gajelas terus saldo hilang,keamanan lemah tiba tiba transaksi gajelas terus saldo hilang,"['keamanan', 'lemah', 'tiba', 'tiba', 'transaksi', 'gajelas', 'terus', 'saldo', 'hilang']",aman lemah tiba tiba transaksi gajelas terus saldo hilang
Tuyul hedon,apk geje saldo gua ludes tiba tiba,1,7/7/2025 15:18,apk geje saldo gua ludes tiba tiba,apk geje saldo gua ludes tiba tiba,apk geje saldo gua ludes tiba tiba,"['apk', 'geje', 'saldo', 'gua', 'ludes', 'tiba', 'tiba']",apk geje saldo gua ludes tiba tiba
Elvis Pasaribu,Aplikasi anak bangsa yg sangat kreatif. maju terus indonesia tercinta🥰,5,7/7/2025 15:15,aplikasi anak bangsa yg sangat kreatif. maju terus indonesia tercinta🥰,aplikasi anak bangsa yg sangat kreatif maju terus indonesia tercinta,aplikasi anak bangsa yg sangat kreatif maju terus indonesia tercinta,"['aplikasi', 'anak', 'bangsa', 'yg', 'sangat', 'kreatif', 'maju', 'terus', 'indonesia', 'tercinta']",aplikasi anak bangsa yg sangat kreatif maju terus indonesia cinta
Arabella 1121,"maaf kasih bintang 3 soalnya aku kecewa gara"" mau lakuin pembayaran malah gak bisa, karena kendala kode otp gk terkirim ke sms. gimana ini min?",3,7/7/2025 15:12,"maaf kasih bintang 3 soalnya aku kecewa gara"" mau lakuin pembayaran malah gak bisa, karena kendala kode otp gk terkirim ke sms. gimana ini min?",maaf kasih bintang soalnya aku kecewa gara mau lakuin pembayaran malah gak bisa karena kendala kode otp gk terkirim ke sms gimana ini min,maaf kasih bintang soalnya aku kecewa gara mau lakuin pembayaran malah gak kendala kode otp gk terkirim sms gimana min,"['maaf', 'kasih', 'bintang', 'soalnya', 'aku', 'kecewa', 'gara', 'mau', 'lakuin', 'pembayaran', 'malah', 'gak', 'kendala', 'kode', 'otp', 'gk', 'terkirim', 'sms', 'gimana', 'min']",maaf kasih bintang soal aku kecewa gara mau lakuin bayar malah gak kendala kode otp gk kirim sms gimana min
Edy Effendy,Dana persi terbaru ada eng ya,5,7/7/2025 15:11,dana persi terbaru ada eng ya,dana persi terbaru ada eng ya,dana persi terbaru eng,"['dana', 'persi', 'terbaru', 'eng']",dana pers baru eng
04. amelia putri yudistira,"udah top up lewat bca malah ga nambah saldonya, udah chat diana responnya ga jelas tolong dari keamanannya ditingkatin gatau itu duit gantung apa gmn, tapi gara gara itu jadi telat bayar kos udah di teror sm Bu kos stress deh gue Bu kos nya gamau tau pula ppk lah, tolong di followup segera!!",1,7/7/2025 15:10,"udah top up lewat bca malah ga nambah saldonya, udah chat diana responnya ga jelas tolong dari keamanannya ditingkatin gatau itu duit gantung apa gmn, tapi gara gara itu jadi telat bayar kos udah di teror sm bu kos stress deh gue bu kos nya gamau tau pula ppk lah, tolong di followup segera!!",udah top up lewat bca malah ga nambah saldonya udah chat diana responnya ga jelas tolong dari keamanannya ditingkatin gatau itu duit gantung apa gmn tapi gara gara itu jadi telat bayar kos udah di teror sm bu kos stress deh gue bu kos nya gamau tau pula ppk lah tolong di followup segera,udah top up lewat bca malah ga nambah saldonya udah chat diana responnya ga jelas keamanannya ditingkatin gatau duit gantung apa gmn gara gara jadi telat bayar kos udah teror sm bu kos stress deh gue bu kos nya gamau tau ppk lah followup segera,"['udah', 'top', 'up', 'lewat', 'bca', 'malah', 'ga', 'nambah', 'saldonya', 'udah', 'chat', 'diana', 'responnya', 'ga', 'jelas', 'keamanannya', 'ditingkatin', 'gatau', 'duit', 'gantung', 'apa', 'gmn', 'gara', 'gara', 'jadi', 'telat', 'bayar', 'kos', 'udah', 'teror', 'sm', 'bu', 'kos', 'stress', 'deh', 'gue', 'bu', 'kos', 'nya', 'gamau', 'tau', 'ppk', 'lah', 'followup', 'segera']",udah top up lewat bca malah ga nambah saldo udah chat ana responnya ga jelas aman ditingkatin gatau duit gantung apa gmn gara gara jadi telat bayar kos udah teror sm bu kos stress deh gue bu kos nya gamau tau ppk lah followup segera
Rian Hardian,"isi saldo brizi 4x ga masuk2 aneh,aplikasi rampok ini,hati2 hati.",1,7/7/2025 15:09,"isi saldo brizi 4x ga masuk2 aneh,aplikasi rampok ini,hati2 hati.",isi saldo brizi x ga masuk anehaplikasi rampok inihati hati,isi saldo brizi x ga masuk anehaplikasi rampok inihati hati,"['isi', 'saldo', 'brizi', 'x', 'ga', 'masuk', 'anehaplikasi', 'rampok', 'inihati', 'hati']",isi saldo brizi x ga masuk anehaplikasi rampok inihati hati
amattt skuyy,"bintang 4 aja, soalnya gada fitur transfer es krim lewat dana jadi saya sedikit kecewa untuk itu",4,7/7/2025 15:08,"bintang 4 aja, soalnya gada fitur transfer es krim lewat dana jadi saya sedikit kecewa untuk itu",bintang aja soalnya gada fitur transfer es krim lewat dana jadi saya sedikit kecewa untuk itu,bintang aja soalnya gada fitur transfer es krim lewat dana jadi sedikit kecewa,"['bintang', 'aja', 'soalnya', 'gada', 'fitur', 'transfer', 'es', 'krim', 'lewat', 'dana', 'jadi', 'sedikit', 'kecewa']",bintang aja soal gada fitur transfer es krim lewat dana jadi sedikit kecewa
Pendi Purbaya,aplikasi ini sangat bagus info cuan gratis 🗿,5,7/7/2025 15:07,aplikasi ini sangat bagus info cuan gratis 🗿,aplikasi ini sangat bagus info cuan gratis,aplikasi sangat bagus info cuan gratis,"['aplikasi', 'sangat', 'bagus', 'info', 'cuan', 'gratis']",aplikasi sangat bagus info cuan gratis
Siska Monika,sangat membantu,5,7/7/2025 15:03,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",sangat bantu
